Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI,Year,Month,Day
20171231WAPIM,https://www.heraldnet.com/news/police-say-they-shot-up-the-school-then-bragged-about-it/,,,2,2017-12-31,Winter,Pinewood Elementary School,Marysville,WA,Elementary,Beside Building,Outside on School Property,No,Not a School Day,11:55 PM,Two teens fired shots at school breaking windows,19YOM and 18YOM fired 60 shots at elementary school building on New Years Eve causing extensive property damage. Bragged to others about shooting and were arrested.,Intentional Property Damage,Neither,Yes,No,No,No,No,No,No,No,60,No,2017,12,31
20171231LAEDA,https://www.nola.com/crime/index.ssf/2017/01/algiers_double_shooting.html,,,2,2017-12-31,Winter,Edna Karr High School,Algiers,LA,High,Parking Lot,Outside on School Property,No,Sport Event,8:00 PM,Drive-by in parking lot outside of school during basketball game,"2 non-students were denied entry to a high school basketball game. While sitting in their car in the parking lot, a car pulled up next to them and fired multiple times killing both of them.",Drive-by Shooting,Victims Targeted,Yes,No,No,No,No,No,No,No,<30,No,2017,12,31
20171227CALIL,https://www.dailynews.com/2017/12/28/man-arguing-with-girlfriend-in-lancaster-school-parking-lot-is-shot-by-another-man/,,,2,2017-12-27,Winter,Lincoln Elementary School,Lancaster,CA,Elementary,Parking Lot,Outside on School Property,No,Evening,10:40 PM,Attempted to stop domestic then fled scene,A victim and his girlfriend were involved in an argument. They pulled into school parking lot to continue argument when unknown male approached and intervened. Unknown male (shooter) shot male twice then fled. Victim was taken to hospital and treated. ,Domestic w/ Targeted Victim,Victims Targeted,,No,No,No,No,No,No,No,2,No,2017,12,27
20171219MIBEB,http://www.wnem.com/story/37105109/breaking-police-investigate-shooting-at-beecher-high-school,,,2,2017-12-19,Winter,Beecher High School,Beecher,MI,High,Parking Lot,Outside on School Property,No,Sport Event,,Student shot in parking lot after basketball game,Student shot in parking lot during a fight after basketball game with rival school. Unknown who fired the shot. Students involved in fight fled.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,,No,2017,12,19
20171214TXELD,https://www.nbcdfw.com/news/local/Dallas-ISD-Gun-Accidentally-Goes-Off-in-3rd-Grade-Classroom-464473823.html,,,2,2017-12-14,Winter,Elisha M. Pease Elementary School,Dallas,TX,Elementary,Classroom,Inside School Building,Yes,Dismissal,,Gun in backpack of 3rd grader discharged,Gun in backpack of 3rd grader discharged in classroom. No injuries.,Accidental,Neither,No,No,No,No,No,No,No,No,1,No,2017,12,14
20171212TXSAP,https://abc13.com/2-wounded-when-gun-goes-off-in-car-at-sam-rayburn-hs/2774679/,,,2,2017-12-12,Winter,Sam Rayburn High School,Pasadena,TX,High,Parking Lot,Outside on School Property,No,School Event,6:00 PM,Accidental discharge in car striking both occupants,Two relatives (21YOM and 20YOM) were dropping off supplies for choir concert at the school when gun in car discharged striking both of them.,Accidental,Random Shooting,Yes,No,No,No,No,No,No,No,1,No,2017,12,12
20171211NCHIH,http://www.hpenews.com/free/shot-fired-at-central-high-school-no-one-injured/article_574ce5ba-dea8-11e7-b849-5ffd746bf19a.html,5-10,Regional,2,2017-12-11,Winter,High Point Central High School,High Point,NC,High,Cafeteria,Inside School Building,Yes,Afternoon Classes,2:08 PM,Gang-related shooting near cafeteria,"A shot was fired near the cafeteria. No one was hurt, school went on lockdown. The suspect fled but was arrested. A second juvenile, current but suspended student, was also arrested in relation to the shooting. Gang-related.",Escalation of Dispute,Victims Targeted,,No,No,No,No,No,Yes,No,1,No,2017,12,11
20171209ILCHC,https://www.news-gazette.com/news/update-potential-fight-might-have-sparked-gunfire/article_644ff6c6-f9f5-5327-b078-630facba2e9b.html,,,4,2017-12-09,Winter,Champaign Central High School,Champaign,IL,High,Parking Lot,Outside on School Property,No,Sport Event,9:20 PM,Shots fired during fight after basketball game,"15YOF, 17YOF, and 18YOF were shot during fight outside of high school basketball game. Unknown shooter fled the scene.",Escalation of Dispute,Both,,No,No,No,No,No,No,No,,No,2017,12,9
20171207NMAZA,https://lasvegassun.com/news/2021/apr/23/2017-campus-shooting-las-vegas-school-safety-event/ https://www.cnn.com/2017/12/08/us/aztec-high-school-shooting-william-atchison/index.html https://www.fbi.gov/file-repository/active-shooter-incidents-2000-2017.pdf,100,National,5,2017-12-07,Winter,Aztec High School,Aztec,NM,High,Classroom,Inside School Building,Yes,Morning Classes,08:04:00,Planned mass shooting attack by former student,,Indiscriminate Shooting,Random Shooting,No,Yes,Yes,No,,No,No,Yes,,Yes,2017,12,7
20171130VASAV,https://wtkr.com/2017/12/01/police-salem-hs-student-died-from-self-inflicted-gunshot-wound/ .  https://wtkr.com/2017/12/01/school-mourns-after-teen-shot-himself-in-school-bathroom/ https://www.wavy.com/news/salem-high-school-on-lockdown-due-to-student-with-medical-emergency/1078260255,,,3,2017-11-30,Fall,Salem High School,Virginia Beach,VA,High,Inside School Building,Inside School Building,Yes,School Start,8:10 AM,Student commit suicide in school,Student commit suicide inside school. Details unknown.,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,No,No,1,No,2017,11,30
20171129OHBAL,https://www.limaohio.com/news/273390/lima-man-arrested-after-gun-goes-off-accidentally-at-bath-high-school,,,2,2017-11-29,Fall,Bath High School,Lima,OH,High,Gym,Inside School Building,No,Evening,7:00 PM,Gun discharged in man's pocket while at basketball referees' meeting,Gun discharged in 49YOM pocket while attending basketball referees meeting. No injuries. Arrested and charged with possession of firearm at school.,Accidental,Neither,No,No,No,No,No,No,No,No,1,No,2017,11,29
